C:\Users\lees_\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lees_\PycharmProjects\KFGNet\results.py
max_iter=39
C:\Users\lees_\PycharmProjects\KFGNet\model.py:343: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  vmotion = torch.tensor(vmotion_list, dtype=torch.float32).to(device)
loss.mean() = 2.142463445663452, y_pred = [0.36040974 0.6395903 ], y_actual = tensor([1., 0.])
loss.mean() = 0.0010639876127243042, y_pred = [1.000000e+00 3.695985e-15], y_actual = tensor([1., 0.])
loss.mean() = 0.001714661717414856, y_pred = [1.0000000e+00 1.7740748e-10], y_actual = tensor([1., 0.])
loss.mean() = 0.0012316256761550903, y_pred = [9.9999344e-01 6.5954946e-06], y_actual = tensor([1., 0.])
loss.mean() = 2.4160807132720947, y_pred = [0.08929479 0.91070527], y_actual = tensor([1., 0.])
loss.mean() = 3.0611929893493652, y_pred = [0.04685503 0.95314497], y_actual = tensor([1., 0.])
loss.mean() = 0.08375228196382523, y_pred = [0.92126197 0.07873806], y_actual = tensor([1., 0.])
loss.mean() = 0.001363127725198865, y_pred = [9.9996281e-01 3.7187878e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.0002377331256866455, y_pred = [1.0000000e+00 1.8622295e-08], y_actual = tensor([1., 0.])
loss.mean() = 10.731328964233398, y_pred = [9.9997818e-01 2.1864318e-05], y_actual = tensor([0., 1.])
loss.mean() = 3.026061534881592, y_pred = [0.951482   0.04851798], y_actual = tensor([0., 1.])
loss.mean() = 7.882744789123535, y_pred = [9.9962258e-01 3.7740578e-04], y_actual = tensor([0., 1.])
loss.mean() = 0.24686355888843536, y_pred = [0.21687421 0.7831258 ], y_actual = tensor([0., 1.])
loss.mean() = 4.056612014770508, y_pred = [0.98264045 0.01735956], y_actual = tensor([0., 1.])
loss.mean() = 0.0010200440883636475, y_pred = [1.0000000e+00 2.2701737e-08], y_actual = tensor([1., 0.])
loss.mean() = 9.352903366088867, y_pred = [9.999131e-01 8.686466e-05], y_actual = tensor([0., 1.])
loss.mean() = 3.003997325897217, y_pred = [0.9503798  0.04962021], y_actual = tensor([0., 1.])
loss.mean() = 9.762263298034668, y_pred = [9.9994242e-01 5.7597248e-05], y_actual = tensor([0., 1.])
loss.mean() = 0.02326132170855999, y_pred = [0.02225778 0.97774225], y_actual = tensor([0., 1.])
loss.mean() = 1.2695181369781494, y_pred = [0.71885085 0.28114912], y_actual = tensor([0., 1.])
loss.mean() = 1.897694706916809, y_pred = [0.85001636 0.1499837 ], y_actual = tensor([0., 1.])
loss.mean() = 0.05373374745249748, y_pred = [0.00425573 0.9957443 ], y_actual = tensor([0., 1.])
loss.mean() = 20.88827896118164, y_pred = [1.000000e+00 8.529628e-10], y_actual = tensor([0., 1.])
loss.mean() = 14.514205932617188, y_pred = [9.999995e-01 4.975872e-07], y_actual = tensor([0., 1.])
loss.mean() = 7.475764274597168, y_pred = [5.6785153e-04 9.9943215e-01], y_actual = tensor([1., 0.])
loss.mean() = 10.310151100158691, y_pred = [3.3709050e-05 9.9996626e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0007504820823669434, y_pred = [1.000000e+00 6.835128e-19], y_actual = tensor([1., 0.])
loss.mean() = 0.001518160104751587, y_pred = [1.0000000e+00 2.7960745e-13], y_actual = tensor([1., 0.])
loss.mean() = 0.024631164968013763, y_pred = [0.9941497  0.00585032], y_actual = tensor([1., 0.])
loss.mean() = 0.08979030698537827, y_pred = [0.91436255 0.08563745], y_actual = tensor([1., 0.])
Epoch: 6, Total Loss: 155.60955810546875, Avg Loss: 3.9899885654449463
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch6.pth
max_iter=39
loss.mean() = 0.008947819471359253, y_pred = [9.9999869e-01 1.3640323e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.007201522588729858, y_pred = [1.0000000e+00 2.0846397e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.01033608615398407, y_pred = [9.999970e-01 2.974838e-06], y_actual = tensor([1., 0.])
loss.mean() = 8.682005882263184, y_pred = [1.6975679e-04 9.9983025e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.04224981740117073, y_pred = [0.9876435  0.01235659], y_actual = tensor([1., 0.])
loss.mean() = 20.42127227783203, y_pred = [1.3612017e-09 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 12.011173248291016, y_pred = [6.080150e-06 9.999939e-01], y_actual = tensor([1., 0.])
loss.mean() = 10.434385299682617, y_pred = [2.9483843e-05 9.9997056e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.20824289321899414, y_pred = [0.83123046 0.1687696 ], y_actual = tensor([1., 0.])
loss.mean() = 10.691123008728027, y_pred = [2.3166502e-05 9.9997687e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.004330247640609741, y_pred = [1.0000000e+00 7.4980983e-13], y_actual = tensor([1., 0.])
loss.mean() = 0.2783343195915222, y_pred = [0.77459705 0.22540295], y_actual = tensor([1., 0.])
loss.mean() = 0.007638335227966309, y_pred = [9.9999857e-01 1.4106179e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.26299384236335754, y_pred = [0.7697274  0.23027262], y_actual = tensor([1., 0.])
loss.mean() = 6.047392845153809, y_pred = [0.00237782 0.9976222 ], y_actual = tensor([1., 0.])
loss.mean() = 2.8042171001434326, y_pred = [0.06150326 0.93849677], y_actual = tensor([1., 0.])
loss.mean() = 0.026519067585468292, y_pred = [9.9978203e-01 2.1795674e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.630221962928772, y_pred = [9.9997699e-01 2.3026309e-05], y_actual = tensor([1., 0.])
loss.mean() = 1.858669638633728, y_pred = [0.00211958 0.99788046], y_actual = tensor([0., 1.])
loss.mean() = 1.211174488067627, y_pred = [0.7004972  0.29950282], y_actual = tensor([0., 1.])
loss.mean() = 5.558828353881836, y_pred = [0.996135   0.00386497], y_actual = tensor([0., 1.])
loss.mean() = 0.06558491289615631, y_pred = [0.0423422  0.95765775], y_actual = tensor([0., 1.])
loss.mean() = 2.707287549972534, y_pred = [0.93181473 0.06818528], y_actual = tensor([0., 1.])
loss.mean() = 0.003222599159926176, y_pred = [0.9978193  0.00218064], y_actual = tensor([1., 0.])
loss.mean() = 0.08550498634576797, y_pred = [0.07948624 0.92051375], y_actual = tensor([0., 1.])
loss.mean() = 0.26003092527389526, y_pred = [0.22841425 0.77158576], y_actual = tensor([0., 1.])
loss.mean() = 4.7056474685668945, y_pred = [0.99095213 0.00904781], y_actual = tensor([0., 1.])
loss.mean() = 0.015945397317409515, y_pred = [0.01514692 0.984853  ], y_actual = tensor([0., 1.])
loss.mean() = 0.008443308994174004, y_pred = [0.0079494 0.9920506], y_actual = tensor([0., 1.])
loss.mean() = 2.263307809829712, y_pred = [0.8959419  0.10405812], y_actual = tensor([0., 1.])
loss.mean() = 5.639583587646484, y_pred = [0.9962923  0.00370773], y_actual = tensor([0., 1.])
loss.mean() = 0.06094774976372719, y_pred = [0.0522672  0.94773287], y_actual = tensor([0., 1.])
loss.mean() = 2.5154495239257812, y_pred = [0.9191473  0.08085267], y_actual = tensor([0., 1.])
loss.mean() = 17.788331985473633, y_pred = [1.8881742e-08 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 21.793258666992188, y_pred = [3.4453349e-10 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 0.0006701946258544922, y_pred = [9.9999940e-01 5.4159426e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.0025736093521118164, y_pred = [9.9999976e-01 1.9928632e-07], y_actual = tensor([1., 0.])
loss.mean() = 6.3998942375183105, y_pred = [0.00167086 0.9983291 ], y_actual = tensor([1., 0.])
loss.mean() = 1.1013028621673584, y_pred = [0.3325923  0.66740763], y_actual = tensor([1., 0.])
Epoch: 7, Total Loss: 146.62423706054688, Avg Loss: 3.7595958709716797
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch7.pth
max_iter=39
loss.mean() = 0.001038699527271092, y_pred = [9.9995935e-01 4.0635012e-05], y_actual = tensor([1., 0.])
loss.mean() = 3.958366632461548, y_pred = [0.01910254 0.9808975 ], y_actual = tensor([1., 0.])
loss.mean() = 0.23189207911491394, y_pred = [0.793448   0.20655209], y_actual = tensor([1., 0.])
loss.mean() = 1.536956548690796, y_pred = [0.21518038 0.7848196 ], y_actual = tensor([1., 0.])
loss.mean() = 0.0036080777645111084, y_pred = [1.000000e+00 8.426722e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.001668974757194519, y_pred = [9.9999666e-01 3.3175281e-06], y_actual = tensor([1., 0.])
loss.mean() = 1.1566548347473145, y_pred = [0.31462348 0.6853765 ], y_actual = tensor([1., 0.])
loss.mean() = 0.06932474672794342, y_pred = [0.9336876  0.06631241], y_actual = tensor([1., 0.])
loss.mean() = 0.0011772215366363525, y_pred = [9.999900e-01 9.992629e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.1617618352174759, y_pred = [0.85157055 0.14842945], y_actual = tensor([1., 0.])
loss.mean() = 0.0016433000564575195, y_pred = [1.00000e+00 9.39961e-17], y_actual = tensor([1., 0.])
loss.mean() = 0.0005182027816772461, y_pred = [9.9999928e-01 7.6835823e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.002527475357055664, y_pred = [1.000000e+00 5.379061e-12], y_actual = tensor([1., 0.])
loss.mean() = 0.010189524851739407, y_pred = [0.9903043  0.00969577], y_actual = tensor([1., 0.])
loss.mean() = 3.76845121383667, y_pred = [0.02309561 0.97690445], y_actual = tensor([1., 0.])
loss.mean() = 0.9806635975837708, y_pred = [0.37662843 0.6233716 ], y_actual = tensor([1., 0.])
loss.mean() = 0.001021744916215539, y_pred = [9.9940586e-01 5.9410831e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.00034274160861968994, y_pred = [1.000000e+00 8.803657e-11], y_actual = tensor([1., 0.])
loss.mean() = 3.29229736328125, y_pred = [0.96277404 0.03722596], y_actual = tensor([0., 1.])
loss.mean() = 4.061527252197266, y_pred = [0.9827708  0.01722921], y_actual = tensor([0., 1.])
loss.mean() = 11.430095672607422, y_pred = [9.9998915e-01 1.0877570e-05], y_actual = tensor([0., 1.])
loss.mean() = 3.723047971725464, y_pred = [0.97569716 0.02430285], y_actual = tensor([0., 1.])
loss.mean() = 7.781898021697998, y_pred = [9.995802e-01 4.197463e-04], y_actual = tensor([0., 1.])
loss.mean() = 0.009468098171055317, y_pred = [0.9909548  0.00904521], y_actual = tensor([1., 0.])
loss.mean() = 4.077288627624512, y_pred = [0.9830269  0.01697307], y_actual = tensor([0., 1.])
loss.mean() = 0.003948675002902746, y_pred = [0.00310049 0.9968995 ], y_actual = tensor([0., 1.])
loss.mean() = 1.5509769916534424, y_pred = [0.7877519  0.21224809], y_actual = tensor([0., 1.])
loss.mean() = 0.18319569528102875, y_pred = [0.16647074 0.8335293 ], y_actual = tensor([0., 1.])
loss.mean() = 0.002599826082587242, y_pred = [0.00161432 0.99838567], y_actual = tensor([0., 1.])
loss.mean() = 0.3507855236530304, y_pred = [0.29472503 0.70527494], y_actual = tensor([0., 1.])
loss.mean() = 0.03047442063689232, y_pred = [0.00194464 0.99805534], y_actual = tensor([0., 1.])
loss.mean() = 0.005308866500854492, y_pred = [1.3027414e-08 1.0000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 0.0647556334733963, y_pred = [0.06187098 0.938129  ], y_actual = tensor([0., 1.])
loss.mean() = 7.437669277191162, y_pred = [5.9121486e-04 9.9940884e-01], y_actual = tensor([1., 0.])
loss.mean() = 17.330242156982422, y_pred = [2.9970924e-08 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 0.0015080124139785767, y_pred = [1.000000e+00 6.892183e-18], y_actual = tensor([1., 0.])
loss.mean() = 0.0032345354557037354, y_pred = [1.0000000e+00 1.3802693e-12], y_actual = tensor([1., 0.])
loss.mean() = 14.385007858276367, y_pred = [5.721854e-07 9.999994e-01], y_actual = tensor([1., 0.])
loss.mean() = 1.3406049013137817, y_pred = [0.26218972 0.7378103 ], y_actual = tensor([1., 0.])
Epoch: 8, Total Loss: 88.95375061035156, Avg Loss: 2.280865430831909
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch8.pth
max_iter=39
loss.mean() = 0.0022385716438293457, y_pred = [9.9999654e-01 3.4642219e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.056353382766246796, y_pred = [0.9457694 0.0542306], y_actual = tensor([1., 0.])
loss.mean() = 0.0011697709560394287, y_pred = [9.9999869e-01 1.3054597e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.4279535114765167, y_pred = [0.65329385 0.34670615], y_actual = tensor([1., 0.])
loss.mean() = 0.007825657725334167, y_pred = [9.9982685e-01 1.7316248e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0038911751471459866, y_pred = [9.994110e-01 5.890457e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.19772067666053772, y_pred = [0.82126546 0.1787346 ], y_actual = tensor([1., 0.])
loss.mean() = 5.181811332702637, y_pred = [0.00562695 0.9943731 ], y_actual = tensor([1., 0.])
loss.mean() = 0.004576766397804022, y_pred = [0.9979284  0.00207157], y_actual = tensor([1., 0.])
loss.mean() = 0.0063675520941615105, y_pred = [0.99588686 0.00411309], y_actual = tensor([1., 0.])
loss.mean() = 0.0024472028017044067, y_pred = [1.000000e+00 5.435906e-10], y_actual = tensor([1., 0.])
loss.mean() = 0.0007719695568084717, y_pred = [1.0000000e+00 1.5198341e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.003667101263999939, y_pred = [1.000000e+00 5.247354e-12], y_actual = tensor([1., 0.])
loss.mean() = 0.7096484899520874, y_pred = [0.49224693 0.507753  ], y_actual = tensor([1., 0.])
loss.mean() = 2.150956630706787, y_pred = [0.11644185 0.88355815], y_actual = tensor([1., 0.])
loss.mean() = 5.21793270111084, y_pred = [0.00546525 0.99453473], y_actual = tensor([1., 0.])
loss.mean() = 0.03723742812871933, y_pred = [0.96382016 0.03617981], y_actual = tensor([1., 0.])
loss.mean() = 0.02169419638812542, y_pred = [0.9798964  0.02010357], y_actual = tensor([1., 0.])
loss.mean() = 0.5777863264083862, y_pred = [0.4353109  0.56468904], y_actual = tensor([0., 1.])
loss.mean() = 0.9892607927322388, y_pred = [0.62783885 0.3721611 ], y_actual = tensor([0., 1.])
loss.mean() = 1.316907525062561, y_pred = [0.7313917 0.2686083], y_actual = tensor([0., 1.])
loss.mean() = 0.7906888127326965, y_pred = [0.5384121 0.4615879], y_actual = tensor([0., 1.])
loss.mean() = 0.33259648084640503, y_pred = [0.26919678 0.7308032 ], y_actual = tensor([0., 1.])
loss.mean() = 0.04616539552807808, y_pred = [0.9555     0.04449993], y_actual = tensor([1., 0.])
loss.mean() = 0.008524810895323753, y_pred = [0.0059876 0.9940124], y_actual = tensor([0., 1.])
loss.mean() = 0.2684139609336853, y_pred = [0.23474304 0.765257  ], y_actual = tensor([0., 1.])
loss.mean() = 0.27520570158958435, y_pred = [0.23964188 0.76035815], y_actual = tensor([0., 1.])
loss.mean() = 0.19673492014408112, y_pred = [0.17764193 0.8223581 ], y_actual = tensor([0., 1.])
loss.mean() = 0.03242985159158707, y_pred = [0.03111123 0.96888876], y_actual = tensor([0., 1.])
loss.mean() = 1.7027592658996582, y_pred = [0.8175049  0.18249515], y_actual = tensor([0., 1.])
loss.mean() = 0.06677012890577316, y_pred = [0.00247557 0.99752444], y_actual = tensor([0., 1.])
loss.mean() = 7.345513343811035, y_pred = [9.9934846e-01 6.5154326e-04], y_actual = tensor([0., 1.])
loss.mean() = 0.3124929368495941, y_pred = [0.267998   0.73200196], y_actual = tensor([0., 1.])
loss.mean() = 1.606085181236267, y_pred = [0.20401166 0.7959884 ], y_actual = tensor([1., 0.])
loss.mean() = 13.929281234741211, y_pred = [9.2546179e-07 9.9999905e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0009882599115371704, y_pred = [1.0000000e+00 2.4582376e-11], y_actual = tensor([1., 0.])
loss.mean() = 0.07385893166065216, y_pred = [0.93233204 0.06766798], y_actual = tensor([1., 0.])
loss.mean() = 0.018403522670269012, y_pred = [0.99718696 0.00281304], y_actual = tensor([1., 0.])
loss.mean() = 7.229849815368652, y_pred = [7.2491629e-04 9.9927515e-01], y_actual = tensor([1., 0.])
Epoch: 9, Total Loss: 51.15497970581055, Avg Loss: 1.3116661310195923
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch9.pth
max_iter=39
loss.mean() = 1.206174373626709, y_pred = [0.3001291  0.69987094], y_actual = tensor([1., 0.])
loss.mean() = 0.023974543437361717, y_pred = [0.9779568  0.02204328], y_actual = tensor([1., 0.])
loss.mean() = 0.0024438053369522095, y_pred = [9.9999988e-01 1.6680384e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.051071759313344955, y_pred = [0.9537462 0.0462538], y_actual = tensor([1., 0.])
loss.mean() = 0.021032676100730896, y_pred = [9.9996269e-01 3.7330537e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.008634179830551147, y_pred = [9.9998057e-01 1.9487101e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.184685617685318, y_pred = [0.832702   0.16729806], y_actual = tensor([1., 0.])
loss.mean() = 4.738304138183594, y_pred = [0.00877874 0.9912212 ], y_actual = tensor([1., 0.])
loss.mean() = 0.10203579813241959, y_pred = [0.9095028  0.09049721], y_actual = tensor([1., 0.])
loss.mean() = 11.52241039276123, y_pred = [9.9749195e-06 9.9998999e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0034767836332321167, y_pred = [1.0000000e+00 1.1454912e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.0030612200498580933, y_pred = [1.0000000e+00 1.7781578e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.00667591392993927, y_pred = [9.9999690e-01 3.1173001e-06], y_actual = tensor([1., 0.])
loss.mean() = 1.9165008068084717, y_pred = [0.14755245 0.8524475 ], y_actual = tensor([1., 0.])
loss.mean() = 1.408362627029419, y_pred = [0.24492712 0.75507295], y_actual = tensor([1., 0.])
loss.mean() = 0.7105347514152527, y_pred = [0.50976855 0.4902315 ], y_actual = tensor([1., 0.])
loss.mean() = 0.020920300856232643, y_pred = [0.98147124 0.01852882], y_actual = tensor([1., 0.])
loss.mean() = 0.0098616573959589, y_pred = [0.99410975 0.00589024], y_actual = tensor([1., 0.])
loss.mean() = 0.09457244724035263, y_pred = [0.00448945 0.9955106 ], y_actual = tensor([0., 1.])
loss.mean() = 1.1093758344650269, y_pred = [0.669316   0.33068398], y_actual = tensor([0., 1.])
loss.mean() = 2.460681438446045, y_pred = [0.91396844 0.08603155], y_actual = tensor([0., 1.])
loss.mean() = 6.012446403503418, y_pred = [0.997326   0.00267398], y_actual = tensor([0., 1.])
loss.mean() = 4.265064239501953, y_pred = [0.9850957  0.01490431], y_actual = tensor([0., 1.])
loss.mean() = 0.018622148782014847, y_pred = [0.9835386  0.01646132], y_actual = tensor([1., 0.])
loss.mean() = 0.0775156021118164, y_pred = [0.06729868 0.9327013 ], y_actual = tensor([0., 1.])
loss.mean() = 0.6408451199531555, y_pred = [0.4708823  0.52911764], y_actual = tensor([0., 1.])
loss.mean() = 0.17101433873176575, y_pred = [0.15307017 0.84692985], y_actual = tensor([0., 1.])
loss.mean() = 1.1352909803390503, y_pred = [0.6769621  0.32303798], y_actual = tensor([0., 1.])
loss.mean() = 0.6888695359230042, y_pred = [0.49552244 0.50447756], y_actual = tensor([0., 1.])
loss.mean() = 0.11478288471698761, y_pred = [0.10346312 0.8965369 ], y_actual = tensor([0., 1.])
loss.mean() = 0.06668420135974884, y_pred = [0.03534798 0.964652  ], y_actual = tensor([0., 1.])
loss.mean() = 0.27539122104644775, y_pred = [0.23103778 0.7689622 ], y_actual = tensor([0., 1.])
loss.mean() = 12.29143238067627, y_pred = [9.9999535e-01 4.6079031e-06], y_actual = tensor([0., 1.])
loss.mean() = 2.211357593536377, y_pred = [0.10984678 0.8901532 ], y_actual = tensor([1., 0.])
loss.mean() = 0.22811192274093628, y_pred = [0.8022166  0.19778338], y_actual = tensor([1., 0.])
loss.mean() = 0.0015529543161392212, y_pred = [1.0000000e+00 1.6328774e-10], y_actual = tensor([1., 0.])
loss.mean() = 0.0015542656183242798, y_pred = [1.000000e+00 6.659236e-13], y_actual = tensor([1., 0.])
loss.mean() = 16.916324615478516, y_pred = [4.565011e-08 1.000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 11.308798789978027, y_pred = [1.2304157e-05 9.9998772e-01], y_actual = tensor([1., 0.])
Epoch: 10, Total Loss: 82.03044891357422, Avg Loss: 2.1033449172973633
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch10.pth
max_iter=39
loss.mean() = 0.004010304808616638, y_pred = [1.0000000e+00 1.0516426e-09], y_actual = tensor([1., 0.])
loss.mean() = 1.9907342195510864, y_pred = [0.13668792 0.86331207], y_actual = tensor([1., 0.])
loss.mean() = 0.0010815411806106567, y_pred = [1.0000000e+00 3.1653613e-08], y_actual = tensor([1., 0.])
loss.mean() = 3.8050339221954346, y_pred = [0.0222675  0.97773254], y_actual = tensor([1., 0.])
loss.mean() = 0.004043713212013245, y_pred = [9.999958e-01 4.142081e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.31391048431396484, y_pred = [0.7318506  0.26814932], y_actual = tensor([1., 0.])
loss.mean() = 2.6952085494995117, y_pred = [0.06755175 0.9324483 ], y_actual = tensor([1., 0.])
loss.mean() = 0.07954609394073486, y_pred = [0.923959   0.07604102], y_actual = tensor([1., 0.])
loss.mean() = 0.0014121895655989647, y_pred = [9.9986982e-01 1.3013813e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0006380528211593628, y_pred = [1.0000000e+00 1.1687436e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.0003865957260131836, y_pred = [1.0000000e+00 1.0637424e-17], y_actual = tensor([1., 0.])
loss.mean() = 0.0007267594337463379, y_pred = [1.0000000e+00 2.2164381e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.0005382746458053589, y_pred = [1.0000000e+00 4.5224035e-17], y_actual = tensor([1., 0.])
loss.mean() = 0.05641541630029678, y_pred = [0.9454898  0.05451012], y_actual = tensor([1., 0.])
loss.mean() = 0.7734783291816711, y_pred = [0.4615848 0.5384152], y_actual = tensor([1., 0.])
loss.mean() = 0.08433876186609268, y_pred = [0.91978294 0.08021701], y_actual = tensor([1., 0.])
loss.mean() = 0.00573775777593255, y_pred = [0.99459165 0.00540837], y_actual = tensor([1., 0.])
loss.mean() = 0.0009397240355610847, y_pred = [9.9969184e-01 3.0822668e-04], y_actual = tensor([1., 0.])
loss.mean() = 4.326015949249268, y_pred = [0.9867562  0.01324384], y_actual = tensor([0., 1.])
loss.mean() = 2.0671443939208984, y_pred = [0.87339866 0.12660134], y_actual = tensor([0., 1.])
loss.mean() = 1.8501980304718018, y_pred = [0.8426828  0.15731718], y_actual = tensor([0., 1.])
loss.mean() = 1.0397590398788452, y_pred = [0.64616555 0.3538344 ], y_actual = tensor([0., 1.])
loss.mean() = 0.20252308249473572, y_pred = [0.18256797 0.81743205], y_actual = tensor([0., 1.])
loss.mean() = 0.0003828934859484434, y_pred = [9.9988365e-01 1.1633737e-04], y_actual = tensor([1., 0.])
loss.mean() = 5.067014694213867, y_pred = [0.9936866  0.00631342], y_actual = tensor([0., 1.])
loss.mean() = 0.17464429140090942, y_pred = [0.1597131  0.84028685], y_actual = tensor([0., 1.])
loss.mean() = 1.892532467842102, y_pred = [0.84925365 0.15074636], y_actual = tensor([0., 1.])
loss.mean() = 0.14371486008167267, y_pred = [0.13338983 0.86661017], y_actual = tensor([0., 1.])
loss.mean() = 0.0844465047121048, y_pred = [0.08056799 0.919432  ], y_actual = tensor([0., 1.])
loss.mean() = 1.7440701723098755, y_pred = [0.8251033  0.17489676], y_actual = tensor([0., 1.])
loss.mean() = 13.783600807189941, y_pred = [9.9999893e-01 1.0583487e-06], y_actual = tensor([0., 1.])
loss.mean() = 4.756169319152832, y_pred = [0.99129957 0.00870042], y_actual = tensor([0., 1.])
loss.mean() = 11.357534408569336, y_pred = [9.9998832e-01 1.1684219e-05], y_actual = tensor([0., 1.])
loss.mean() = 3.106234550476074, y_pred = [0.04481948 0.95518047], y_actual = tensor([1., 0.])
loss.mean() = 1.727564811706543, y_pred = [0.17876129 0.82123864], y_actual = tensor([1., 0.])
loss.mean() = 0.000486716628074646, y_pred = [1.0000000e+00 1.3159446e-16], y_actual = tensor([1., 0.])
loss.mean() = 0.0004257708787918091, y_pred = [9.9999988e-01 1.1310541e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.020735744386911392, y_pred = [0.9834557  0.01654424], y_actual = tensor([1., 0.])
loss.mean() = 0.40870794653892517, y_pred = [0.66474694 0.3352531 ], y_actual = tensor([1., 0.])
Epoch: 11, Total Loss: 63.57209014892578, Avg Loss: 1.6300536394119263
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch11.pth
max_iter=39
loss.mean() = 0.0012720972299575806, y_pred = [9.9999845e-01 1.5405794e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.0007968693971633911, y_pred = [1.0000000e+00 4.2864684e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.0009086877107620239, y_pred = [9.999999e-01 1.584239e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.2546025514602661, y_pred = [0.77531207 0.22468801], y_actual = tensor([1., 0.])
loss.mean() = 0.003395466133952141, y_pred = [9.9974841e-01 2.5159476e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0009496207349002361, y_pred = [9.9997139e-01 2.8657416e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.7193055748939514, y_pred = [0.4871954 0.5128046], y_actual = tensor([1., 0.])
loss.mean() = 0.021381305530667305, y_pred = [0.97920233 0.02079773], y_actual = tensor([1., 0.])
loss.mean() = 1.0652424097061157, y_pred = [0.34499764 0.6550023 ], y_actual = tensor([1., 0.])
loss.mean() = 0.0006424621678888798, y_pred = [9.998197e-01 1.802738e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0003200918436050415, y_pred = [1.000000e+00 8.990231e-11], y_actual = tensor([1., 0.])
loss.mean() = 0.0009145438671112061, y_pred = [9.9999666e-01 3.3639601e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.0005955961532890797, y_pred = [9.9980944e-01 1.9063370e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0003428431518841535, y_pred = [9.999255e-01 7.455361e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.0021785045973956585, y_pred = [0.99823284 0.00176719], y_actual = tensor([1., 0.])
loss.mean() = 0.0007614483474753797, y_pred = [9.9995530e-01 4.4666587e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.00045055150985717773, y_pred = [9.9999535e-01 4.6762725e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.0009606033563613892, y_pred = [9.9999964e-01 3.2003780e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.0012887418270111084, y_pred = [4.0526643e-06 9.9999595e-01], y_actual = tensor([0., 1.])
loss.mean() = 0.023755675181746483, y_pred = [0.02312492 0.97687507], y_actual = tensor([0., 1.])
loss.mean() = 0.32446902990341187, y_pred = [0.27651384 0.7234862 ], y_actual = tensor([0., 1.])
loss.mean() = 12.893594741821289, y_pred = [9.9999750e-01 2.5163315e-06], y_actual = tensor([0., 1.])
loss.mean() = 0.015067601576447487, y_pred = [0.01385016 0.9861499 ], y_actual = tensor([0., 1.])
